articul,posicion,price_base,price_midl,deviation,percent,price_min,price_max,title
BT-7097,Мяч для сквоша AEROPLANE BT-7097 1шт,135.02,'122.18,'12.84,'% 9.51,'90.46,'153.9,
BT-7173-Y,Мяч для сквоша AEROPLANE EXTRA SLOW BT-7173-Y 3шт,310.86,'241.67,'69.19,'% 22.26,'187.0,'296.34,
BT-7173-BL,Мяч для сквоша AEROPLANE FAST BT-7173-BL 3шт,310.86,'247.17,'63.69,'% 20.49,'198.0,'296.34,
700105,Мяч для сквоша DUNLOP INTERO 700105 черный 1шт,226.08,'175.0,'51.08,'% 22.59,'150.0,'200.0,
700103,Мяч для сквоша DUNLOP PROGRESS 700103 1шт,226.08,'169.5,'56.58,'% 25.03,'150.0,'189.0,
700112,Мяч для сквоша DUNLOP REV COMP XT SINGLE DOT 700112 1шт черный,226.08,'171.5,'54.58,'% 24.14,'140.0,'203.0,
HT-6898,Мяч для сквоша SP-Sport HT-6898 3шт цвета в ассортименте,200.95,'152.45,'48.5,'% 24.14,'121.0,'183.92,
WRT618100,Мяч для сквоша WILSON STAFF DOUBLE YEL DOT WRT618100 3шт черный,791.28,'499.08,'292.2,'% 36.93,'468.0,'530.16,
WRT618400,Мяч для сквоша WILSON STAFF SINGLE BL DOT WRT618400 3шт черный,791.28,'498.08,'293.2,'% 37.05,'466.0,'530.16,
WRT618200,Мяч для сквоша WILSON STAFF SINGLE RED DOT WRT618200 3шт черный,791.28,'498.08,'293.2,'% 37.05,'466.0,'530.16,
WRT618300,Мяч для сквоша WILSON STAFF SINGLE YEL DOT WRT618300 3шт черный,791.28,'499.58,'291.7,'% 36.86,'469.0,'530.16,
WRT617500,Мяч для сквоша WILSON STAFF SQUASH 2 BALL BL DOT WRT617500 2шт черный,549.5,'408.5,'141.0,'% 25.66,'323.0,'494.0,
WRT617700,Мяч для сквоша WILSON STAFF SQUASH 2 BALL RED DOT WRT617700 3шт черный,549.5,'408.5,'141.0,'% 25.66,'323.0,'494.0,
WRT617800,Мяч для сквоша WILSON STAFF SQUASH 2 BALL YEL DOT WRT617800 2шт черный,549.5,'408.5,'141.0,'% 25.66,'323.0,'494.0,
POWER-801,Ракетка для сквоша с чехлом FOX POWER-801 цвета в ассортименте,877.63,'556.0,'321.63,'% 36.65,'519.0,'593.0,
SO-2327,Сетка для большого тенниса Любительская SP-Planeta SO-2327,12834.75,'8430.81,'4403.94,'% 34.31,'7709.0,'9152.63,
С-0049,Сетка для большого тенниса С-0049,2998.7,'1977.5,'1021.19,'% 34.05,'1868.0,'2087.0,
С-0051,Сетка для большого тенниса С-0051,3662.81,'2188.5,'1474.31,'% 40.25,'1998.0,'2379.0,
С-3008,Сетка для большого тенниса С-3008,2747.5,'1661.0,'1086.5,'% 39.55,'1447.0,'1875.0,
SO-2326,Сетка для большого тенниса Тренировочная SP-Planeta SO-2326,10123.36,'6649.45,'3473.91,'% 34.32,'6079.0,'7219.9,
LD-1808B,Форма для большого тенниса женская Lingo LD-1808B S-3XL цвета в ассортименте,861.93,'549.52,'312.4,'% 36.25,'521.55,'577.49,
F283,Футболка женская спортивная F283 S-XL цвета в ассортименте,497.69,'322.5,'175.19,'% 35.2,'198.0,'447.0,
LD-7316W,Футболка поло женская Lingo LD-7316W S-2XL цвета в ассортименте,384.65,'262.95,'121.69,'% 31.64,'257.0,'268.9,
LD-3501-BK,Шорты короткие для тренажерного зала Lingo LD-3501-BK M-3XL черный,423.9,'290.51,'133.38,'% 31.47,'284.0,'297.02,
E320-B,Юбка-шорты спортивная E320-B S-XL цвета в ассортименте,524.38,'392.5,'131.88,'% 25.15,'314.0,'471.0,
LD-3601,Юбка-шорты спортивная Lingo LD-3601 S-2XL цвета в ассортименте,463.15,'316.69,'146.45,'% 31.62,'310.0,'323.38,
789S,Кроссовки Health 789S размер 37-45 цвета в ассортименте,1836.9,'1275.49,'561.41,'% 30.56,'1029.99,'1521.0,
2016,Кроссовки теннисные Health 2016 размер 37-45 белый-синий,1386.31,'1264.44,'121.86,'% 8.79,'971.89,'1557.0,
2018,Кроссовки теннисные Health 2018 размер 37-45 белый-черный,1387.88,'1266.1,'121.78,'% 8.77,'973.21,'1559.0,
